FIPS5,yr,population
05009,2016,37260
05009,2017,37486
05009,2018,37480
05011,2014,11016
05011,2015,11007
05011,2016,10967
05011,2017,10853
05011,2018,10897
05013,2014,5168
05013,2015,5201
05013,2016,5142
05013,2017,5224
05013,2018,5277
05015,2014,27735
05015,2015,27775
05015,2016,27753
05015,2017,27947
05015,2018,28223
05017,2014,11202
05017,2015,10960
05017,2016,10892
05017,2017,10639
05017,2018,10438
05019,2014,22565
05019,2015,22517
05019,2016,22600
05019,2017,22180
05019,2018,22061
05021,2014,15297
05021,2015,15200
05021,2016,15051
05021,2017,14910
05021,2018,14847
05023,2014,25605
05023,2015,25361
05023,2016,25174
05023,2017,25046
05023,2018,24965
05025,2014,8398
05025,2015,8284
05025,2016,8249
05025,2017,8181
05025,2018,8018
05027,2014,24046
05027,2015,24126
05027,2016,24049
05027,2017,23700
05027,2018,23537
05029,2014,20991
05029,2015,20930
05029,2016,20871
05029,2017,20848
05029,2018,20891
05031,2014,102661
05031,2015,104419
05031,2016,105830
05031,2017,107037
05031,2018,108558
05033,2014,61817
05033,2015,61910
05033,2016,62309
05033,2017,62917
05033,2018,63406
05035,2014,49577
05035,2015,49071
05035,2016,49345
05035,2017,48730
05035,2018,48342
05037,2014,17183
05037,2015,17254
05037,2016,17024
05037,2017,16852
05037,2018,16676
05039,2014,7692
05039,2015,7531
05039,2016,7402
05039,2017,7354
05039,2018,7182
05041,2014,12270
05041,2015,12022
05041,2016,11899
05041,2017,11732
05041,2018,11512
05043,2014,18640
05043,2015,18617
05043,2016,18552
05043,2017,18373
05043,2018,18328
05045,2014,120567
05045,2015,121209
05045,2016,122100
05045,2017,123397
05045,2018,124806
05047,2014,17820
05047,2015,17755
05047,2016,17669
05047,2017,17844
05047,2018,17810
05049,2014,12083
05049,2015,12137
05049,2016,12096
05049,2017,12112
05049,2018,12269
05051,2014,97754
05051,2015,97816
05051,2016,98311
05051,2017,98444
05051,2018,99154
05053,2014,18073
05053,2015,18014
05053,2016,18059
05053,2017,18096
05053,2018,18188
05055,2014,43787
05055,2015,44298
05055,2016,44730
05055,2017,44977
05055,2018,45325
05057,2014,22338
05057,2015,22094
05057,2016,22036
05057,2017,21881
05057,2018,21741
05059,2014,33400
05059,2015,33480
05059,2016,33419
05059,2017,33600
05059,2018,33701
05061,2014,13510
05061,2015,13353
05061,2016,13366
05061,2017,13377
05061,2018,13341
05063,2014,37079
05063,2015,37034
05063,2016,37118
05063,2017,37409
05063,2018,37678
05065,2014,13553
05065,2015,13483
05065,2016,13486
05065,2017,13680
05065,2018,13593
05067,2014,17595
05067,2015,17371
05067,2016,17290
05067,2017,17057
05067,2018,16811
05069,2014,72469
05069,2015,71868
05069,2016,70400
05069,2017,69269
05069,2018,68114
05071,2014,25971
05071,2015,26103
05071,2016,26150
05071,2017,26489
05071,2018,26742
05073,2014,7164
05073,2015,7015
05073,2016,6893
05073,2017,6822
05073,2018,6682
05075,2014,16971
05075,2015,16702
05075,2016,16649
05075,2017,16590
05075,2018,16434
05077,2014,9843
05077,2015,9676
05077,2016,9340
05077,2017,9147
05077,2018,8985
05079,2014,14030
05079,2015,13866
05079,2016,13724
05079,2017,13473
05079,2018,13383
05081,2014,12524
05081,2015,12421
05081,2016,12421
05081,2017,12393
05081,2018,12326
05083,2014,21859
05083,2015,21713
05083,2016,21725
05083,2017,21753
05083,2018,21737
05085,2014,71338
05085,2015,71336
05085,2016,71819
05085,2017,72878
05085,2018,73657
05087,2014,15733
05087,2015,15707
05087,2016,16112
05087,2017,16349
05087,2018,16481
05089,2014,16420
05089,2015,16211
05089,2016,16378
05089,2017,16460
05089,2018,16722
05091,2014,43566
05091,2015,43912
05091,2016,43842
05091,2017,43884
05091,2018,43592
05093,2014,44250
05093,2015,43715
05093,2016,42879
05093,2017,42073
05093,2018,41239
05095,2014,7635
05095,2015,7453
05095,2016,7203
05095,2017,7052
05095,2018,6900
05097,2014,9158
05097,2015,9029
05097,2016,8949
05097,2017,8907
05097,2018,8924
05099,2014,8651
05099,2015,8513
05099,2016,8380
05099,2017,8328
05099,2018,8326
05101,2014,7879
05101,2015,7858
05101,2016,7860
05101,2017,7837
05101,2018,7805
05103,2014,24763
05103,2015,24321
05103,2016,24015
05103,2017,23824
05103,2018,23606
05105,2014,10353
05105,2015,10298
05105,2016,10274
05105,2017,10335
05105,2018,10352
05107,2014,19960
05107,2015,19557
05107,2016,19062
05107,2017,18564
05107,2018,18029
05109,2014,10987
05109,2015,10835
05109,2016,10825
05109,2017,10721
05109,2018,10673
05111,2014,24152
05111,2015,24016
05111,2016,24007
05111,2017,24121
05111,2018,23974
05113,2014,20255
05113,2015,20196
05113,2016,20151
05113,2017,20162
05113,2018,20049
05115,2014,63111
05115,2015,63577
05115,2016,63876
05115,2017,63655
05115,2018,64000
05117,2014,8345
05117,2015,8297
05117,2016,8252
05117,2017,8250
05117,2018,8074
05119,2014,392990
05119,2015,393643
05119,2016,394386
05119,2017,393616
05119,2018,392680
05121,2014,17568
05121,2015,17427
05121,2016,17427
05121,2017,17645
05121,2018,17948
05123,2014,27096
05123,2015,26654
05123,2016,26344
05123,2017,25938
05123,2018,25439
05125,2014,114861
05125,2015,116397
05125,2016,117695
05125,2017,119669
05125,2018,121421
05127,2014,10665
05127,2015,10540
05127,2016,10313
05127,2017,10374
05127,2018,10319
05129,2014,7917
05129,2015,7831
05129,2016,7964
05129,2017,7947
05129,2018,7958
05131,2014,126784
05131,2015,127428
05131,2016,127477
05131,2017,127865
05131,2018,127753
05133,2014,17429
05133,2015,17272
05133,2016,16980
05133,2017,17146
05133,2018,17139
05135,2014,16822
05135,2015,16811
05135,2016,17014
05135,2017,17200
05135,2018,17366
05137,2014,12379
05137,2015,12380
05137,2016,12498
05137,2017,12517
05137,2018,12457
05139,2014,40140
05139,2015,40093
05139,2016,39883
05139,2017,39420
05139,2018,39126
05141,2014,16880
05141,2015,16773
